name,kegg,synonyms
benzyl alcohol(aq),kegg:C00556,[]
NAD(aq),kegg:C00003,"['NAD(aq)', 'NAD', 'NAD(ox)(aq)', 'NAD(ox)', 'NAD+(aq)']"
benzaldehyde(aq),kegg:C00261,[]
NADH(aq),kegg:C00004,"['NADH(aq)', 'NAD(red)(aq)', 'NAD(red)']"
1-butanol(aq),kegg:C06142,[]
butanal(aq),kegg:C01412,[]
cyclohexanol(aq),kegg:C00854,[]
cyclohexanone(aq),kegg:C00414,[]
ethanol(aq),kegg:C00469,[]
acetaldehyde(aq),kegg:C00084,[]
AP-NAD(aq),COCO:COCOM00012,[]
AP-NADH(aq),COCO:COCOM00013,[]
desamino NAD(aq),nan,[]
desamino NADH(aq),nan,[]
1-hexanol,nan,[]
NAD,kegg:C00003,"['NAD(aq)', 'NAD', 'NAD(ox)(aq)', 'NAD(ox)', 'NAD+(aq)']"
hexanal,nan,[]
NADH,nan,[]
cis-3-hexene-1-ol(aq),kegg:C08492,[]
cis-3-hexenal(aq),kegg:C16310,[]
trans-2-hexen-1-ol,nan,[]
trans-2-hexenal,nan,[]
1-nonanol,nan,[]
nonanal,nan,[]
1-octanol(aq),kegg:C00756,[]
octanal(aq),kegg:C01545,[]
1-propanol(aq),kegg:C05979,[]
propanal(aq),kegg:C00479,[]
2-propanol(aq),kegg:C01845,[]
acetone(aq),kegg:C00207,[]
vitamin A alcohol(aq),kegg:C00473,"['vitamin A alcohol(aq)', 'retinol(aq)']"
vitamin A aldehyde(aq),kegg:C00376,"['vitamin A aldehyde(aq)', 'all-trans-retinal(aq)']"
L-homoserine(aq),kegg:C00263,[]
L-aspartate 4-semialdehyde(aq),kegg:C00441,"['L-aspartate 4-semialdehyde(aq)', 'L-aspartate-4-semialdehyde(aq)']"
NADP(aq),kegg:C00006,"['NADP(aq)', 'NADP(ox)(aq)', 'NADP(ox)']"
NADPH(aq),kegg:C00005,"['NADPH(aq)', 'NADP(red)(aq)']"
"(R,R)-2,3-butanediol(aq)",kegg:C03044,[]
(R)-acetoin(aq),kegg:C00810,[]
glycerol(aq),kegg:C00116,[]
dihydroxyacetone(aq),kegg:C00184,[]
sn-glycerol 3-phosphate(aq),kegg:C00093,"['sn-glycerol 3-phosphate(aq)', 'sn-glycerol 3-phosphate']"
dihydroxyacetone phosphate(aq),kegg:C00111,"['dihydroxyacetone phosphate(aq)', 'glycerone phosphate(aq)']"
sn-glycerol 3-phosphate,kegg:C00093,"['sn-glycerol 3-phosphate(aq)', 'sn-glycerol 3-phosphate']"
allitol(aq),nan,[]
D-psicose(aq),kegg:C06468,[]
D-glycero-D-glucoheptitol(aq),nan,[]
D-sedoheptulose(aq),nan,[]
L-iditol(aq),kegg:C01507,[]
L-sorbose(aq),kegg:C00247,[]
ribitol(aq),kegg:C00474,[]
D-ribulose(aq),kegg:C00309,[]
D-sorbitol(aq),kegg:C00794,[]
D-fructose(aq),kegg:C00095,[]
L-threitol(aq),nan,[]
L-erythrulose(aq),kegg:C02045,[]
xylitol(aq),kegg:C00379,[]
D-xylulose(aq),kegg:C00310,[]
L-xylulose(aq),kegg:C00312,[]
galactitol(aq),kegg:C01697,[]
D-tagatose(aq),kegg:C00795,[]
D-mannitol(aq),kegg:C00392,[]
D-mannitol 1-phosphate(aq),kegg:C00644,"['D-mannitol 1-phosphate(aq)', 'D-mannitol-1-phosphate(aq)']"
D-fructose 6-phosphate(aq),kegg:C00085,"['D-fructose 6-phosphate(aq)', 'D-Fructose 6-phosphate']"
myo-inositol,nan,[]
2-oxo-myo-inositol,nan,[]
D-xylose(aq),kegg:C00181,[]
quinate(aq),kegg:C00296,[]
5-dehydroquinate(aq),kegg:C00944,"['5-dehydroquinate(aq)', '3-dehydroquinate(aq)']"
shikimate(aq),kegg:C00493,[]
3-dehydroshikimate(aq),kegg:C02637,[]
(R)-glycerate(aq),kegg:C00258,[]
hydroxypyruvate(aq),kegg:C00168,[]
glycolate(aq),kegg:C00160,[]
glyoxylate(aq),kegg:C00048,[]
2-hydroxybutanoate(aq),kegg:C05984,"['2-hydroxybutanoate(aq)', 'D-2-hydroxy-n-butanoate(aq)']"
2-oxobutanoate(aq),kegg:C00109,[]
"2,4-dihydroxybutanoate(aq)",nan,[]
2-oxo-4-hydroxybutanoate(aq),nan,[]
(S)-lactate(aq),kegg:C00186,[]
pyruvate(aq),kegg:C00022,"['pyruvate(aq)', 'pyruvate', 'pyruvate-(aq)']"
(R)-lactate(aq),kegg:C00256,[]
(R)-3-hydroxybutanoate(aq),kegg:C01089,[]
3-oxobutanoate(aq),kegg:C00164,"['3-oxobutanoate(aq)', 'acetoacetate(aq)']"
3-hydroxy-2-methylpropanoate(aq),kegg:C01188,[]
