name,kegg,synonyms,inchikey,smiles,chebis,pubchems,rdkit_img,kegg_img
benzyl alcohol(aq),kegg:C00556,[],InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccccc1,chebi:17987,pubchem:3836,images/rdkit/benzyl alcohol(aq).gif,https://rest.kegg.jp/get/:/image
NAD(aq),kegg:C00003,"['NAD(aq)', 'NAD', 'NAD(ox)(aq)', 'NAD(ox)', 'NAD+(aq)']",InChIKey=BAWFJGJZGIEFAR-NNYOXOHSSA-O,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P](O)(=O)O[P](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,chebi:15846,pubchem:3305,images/rdkit/NAD(aq).gif,https://rest.kegg.jp/get/:/image
benzaldehyde(aq),kegg:C00261,[],InChIKey=HUMNYLRZRPPJDN-UHFFFAOYSA-N,O=Cc1ccccc1,chebi:17169,pubchem:3559,images/rdkit/benzaldehyde(aq).gif,https://rest.kegg.jp/get/:/image
NADH(aq),kegg:C00004,"['NADH(aq)', 'NAD(red)(aq)', 'NAD(red)']",InChIKey=BOPGDPNILDQYTO-UHFFFAOYSA-N,NC(=O)C1=CN(C=CC1)C2OC(CO[P](O)(=O)O[P](O)(=O)OCC3OC(C(O)C3O)n4cnc5c(N)ncnc45)C(O)C2O,chebi:16908,pubchem:3306,images/rdkit/NADH(aq).gif,https://rest.kegg.jp/get/:/image
1-butanol(aq),kegg:C06142,[],InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,chebi:28885,pubchem:8398,images/rdkit/1-butanol(aq).gif,https://rest.kegg.jp/get/:/image
butanal(aq),kegg:C01412,[],InChIKey=ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,CCCC=O,chebi:15743,pubchem:4600,images/rdkit/butanal(aq).gif,https://rest.kegg.jp/get/:/image
cyclohexanol(aq),kegg:C00854,[],InChIKey=HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,chebi:18099,pubchem:4111,images/rdkit/cyclohexanol(aq).gif,https://rest.kegg.jp/get/:/image
cyclohexanone(aq),kegg:C00414,[],InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,chebi:17854,pubchem:3704,images/rdkit/cyclohexanone(aq).gif,https://rest.kegg.jp/get/:/image
ethanol(aq),kegg:C00469,[],InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,chebi:16236,pubchem:3752,images/rdkit/ethanol(aq).gif,https://rest.kegg.jp/get/:/image
acetaldehyde(aq),kegg:C00084,[],InChIKey=IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,chebi:15343,pubchem:3384,images/rdkit/acetaldehyde(aq).gif,https://rest.kegg.jp/get/:/image
AP-NAD(aq),COCO:COCOM00012,[],,,,,,
AP-NADH(aq),COCO:COCOM00013,[],,,,,,
desamino NAD(aq),,[],,,,,,
desamino NADH(aq),,[],,,,,,
1-hexanol,,[],,,,,,
NAD,kegg:C00003,"['NAD(aq)', 'NAD', 'NAD(ox)(aq)', 'NAD(ox)', 'NAD+(aq)']",,,chebi:15846,pubchem:3305,,https://rest.kegg.jp/get/:/image
hexanal,,[],,,,,,
NADH,,[],,,,,,
cis-3-hexene-1-ol(aq),kegg:C08492,[],,,chebi:28857,pubchem:10685,images/rdkit/cis-3-hexene-1-ol(aq).gif,https://rest.kegg.jp/get/:/image
cis-3-hexenal(aq),kegg:C16310,[],,,chebi:23292,pubchem:47205618,images/rdkit/cis-3-hexenal(aq).gif,https://rest.kegg.jp/get/:/image
trans-2-hexen-1-ol,,[],,,,,images/rdkit/trans-2-hexen-1-ol.gif,
trans-2-hexenal,,[],,,,,images/rdkit/trans-2-hexenal.gif,
1-nonanol,,[],,,,,images/rdkit/1-nonanol.gif,
nonanal,,[],,,,,images/rdkit/nonanal.gif,
1-octanol(aq),kegg:C00756,[],,,chebi:16188,pubchem:4018,images/rdkit/1-octanol(aq).gif,https://rest.kegg.jp/get/:/image
octanal(aq),kegg:C01545,[],,,chebi:17935,pubchem:4704,images/rdkit/octanal(aq).gif,https://rest.kegg.jp/get/:/image
1-propanol(aq),kegg:C05979,[],,,chebi:28831,pubchem:8258,images/rdkit/1-propanol(aq).gif,https://rest.kegg.jp/get/:/image
propanal(aq),kegg:C00479,[],,,chebi:17153,pubchem:3762,images/rdkit/propanal(aq).gif,https://rest.kegg.jp/get/:/image
2-propanol(aq),kegg:C01845,[],,,chebi:17824,pubchem:4963,images/rdkit/2-propanol(aq).gif,https://rest.kegg.jp/get/:/image
acetone(aq),kegg:C00207,[],,,chebi:15347,pubchem:3507,images/rdkit/acetone(aq).gif,https://rest.kegg.jp/get/:/image
vitamin A alcohol(aq),kegg:C00473,"['vitamin A alcohol(aq)', 'retinol(aq)']",,,chebi:17336,pubchem:3756,images/rdkit/vitamin A alcohol(aq).gif,https://rest.kegg.jp/get/:/image
vitamin A aldehyde(aq),kegg:C00376,"['vitamin A aldehyde(aq)', 'all-trans-retinal(aq)']",,,chebi:17898,pubchem:3666,images/rdkit/vitamin A aldehyde(aq).gif,https://rest.kegg.jp/get/:/image
L-homoserine(aq),kegg:C00263,[],,,chebi:15699,pubchem:3561,images/rdkit/L-homoserine(aq).gif,https://rest.kegg.jp/get/:/image
L-aspartate 4-semialdehyde(aq),kegg:C00441,"['L-aspartate 4-semialdehyde(aq)', 'L-aspartate-4-semialdehyde(aq)']",,,chebi:13086,pubchem:3730,images/rdkit/L-aspartate 4-semialdehyde(aq).gif,https://rest.kegg.jp/get/:/image
