,reference_code,pmid,doi,comment,Title,Date,Publisher,License,Type,Volume,Issue,Page,Authors,Language
0,00BYR/GOL,10723544.0,10.1016/S0301-4622(99)00145-3,,['Thermodynamics of reactions catalyzed by anthranilate synthase'],25.7.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,84,1,45-64,"W.Malcolm Byrnes, Robert N. Goldberg, Marcia J. Holden, Martin P. Mayhew, Yadu B. Tewari",en
1,00DIC/BUR,10748184.0,10.1074/jbc.M910044199,"same as 01DIC/BUR, part 7, ref 98",['Determination of the Free-Energy Change for Repair of a DNA Phosphodiester Bond'],26.7.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,275,21,15828-15831,"Kirsten S. Dickson, Christopher M. Burns, John P. Richardson",en
2,00DIE,,,"part 7, ref  150",-,-,-,-,-,-,-,-,-,-
3,00FLO/SEW,10620267.0,10.1002/(SICI)1097-0290(20000205)67:3<364::AID-BIT13>3.0.CO,,-,-,-,-,-,-,-,-,-,-
4,00FRA/KOS,,10.1039/b000018n,,-,-,-,-,-,-,-,-,-,-
5,00KIS/TEW,,10.1006/jcht.1999.0496,,['A thermodynamic study of the hydrolysis of L-glutamine to (L-glutamate + ammonia) and of L-asparagine to (L -aspartate + ammonia)'],18.9.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,32,9,1077-1090,"Nand Kishore, Yadu B. Tewari, Robert N. Goldberg",en
6,00LIA/HUA,,10.1016/S0040-6031(00)00355-5,,['Microcalorimetric studies on the creatine kinase-catalyzed reaction in the presence of guanidine hydrochloride'],26.7.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,348,1-2,41-47,"Yi Liang, Guo-Chang Huang, Jie Chen, Jun-Mei Zhou",en
7,00LIA/QU,,10.1016/S0009-2509(00)00417-6,,['An on-line calorimetric study of the dismutation of superoxide anion catalyzed by SOD in batch reactors'],25.7.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,55,24,6071-6078,"Yi Liang, Song-Sheng Qu, Cun-Xin Wang, Guo-Lin Zou, Yuan-Xin Wu, Ding-Huo Li",en
8,00ROD/BAR,10890880.0,10.1073/pnas.120168097,,-,-,-,-,-,-,-,-,-,-
9,00TEW,,10.1016/S1381-1177(99)00087-9,,['Thermodynamics of the lipase-catalyzed transesterification of (−)-menthol and dodecyl dodecanoate in organic solvents'],25.7.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,9,1-3,83-90,Yadu B. Tewari,en
10,00TEW/DAV,,10.1006/jcht.2000.0677,,['A thermodynamic study of the conversion of chorismate to isochorismate'],18.9.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,32,8,1057-1070,"Yadu B. Tewari,, Andrew M. Davis,, Prasad Reddy,, Robert N. Goldberg",en
11,00TEW/GOL,,10.1006/jcht.2000.0686,,['Thermodynamics of reactions catalysed by branched-chain-amino-acid transaminase'],18.9.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,32,10,1381-1398,"Yadu B. Tewari, Robert N. Goldberg, J.David Rozzell",en
12,00WU/FEN,,10.1021/ja992286h,,-,-,-,-,-,-,-,-,-,-
13,00ZHE/BLA,10736170.0,10.1021/bi992676g,,-,-,-,-,-,-,-,-,-,-
14,01TEW/BUN,,10.1016/S1381-1177(01)00016-9,,['Thermodynamics of the lipase-catalyzed esterification of glycerol and n-octanoic acid in organic solvents and in the neat reaction mixture'],25.7.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,15,4-6,135-145,"Yadu B. Tewari, David M. Bunk",en
15,01TEW/KIS,,10.1006/jcht.2001.0862,,['Thermochemistry of the reaction { phospho enol pyruvate(aq)+d -erythrose 4-phosphate(aq) + H2 O(l) = 2-dehydro-3-deoxy- d - arabino -heptonate 7-phosphate(aq) + phosphate(aq) }'],6.10.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,33,12,1791-1805,"Yadu B. Tewari, Nand Kishore, Ronald Bauerle, William R. LaCourse, Robert N. Goldberg",en
16,01TIS/IHL,,,,-,-,-,-,-,-,-,-,-,-
17,02DOB/HIT,11986306.0,10.1074/jbc.M111422200,,['Thermodynamics of the Pyruvate Kinase Reaction and the Reversal of Glycolysis in Heart and Skeletal Muscle'],28.7.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,277,30,27176-27182,"Geoffrey P. Dobson, Sam Hitchins, Walter E. Teague",en
18,02FLO/HAL,12001171.0,10.1002/bit.10260,,['Full model for reversible kinetics of lipase‐catalyzed sugar–ester synthesis in 2‐methyl 2‐butanol'],25.8.2002,Wiley,http://onlinelibrary.wiley.com/termsAndConditions#vor,journal-article,78,7,795-801,"Maria Victoria Flores, Peter J. Halling",en
19,02ISO/KOI,,10.1016/S1389-1723(02)80173-6,,['Crystallization and some properties of d-lactate dehydrogenase from Staphylococcus sp. LDH-1'],17.6.2010,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,94,4,330-335,"Kimiyasu Isobe, Yoshinao Koide, Masaaki Yokoe, Norio Wakao",en
