,reference_code,pmid,doi,comment,Language,Volume,Issue,Page,Journal,Abstract,Date,Authors
0,00BYR/GOL,10723544.0,10.1016/S0301-4622(99)00145-3,,['eng'],84,1,45-64,Biophysical chemistry,"Microcalorimetry and high performance liquid chromatography have been used to conduct a thermodynamic investigation of reactions catalyzed by anthranilate synthase, the enzyme located at the first step in the biosynthetic pathway leading from chorismate to tryptophan. One of the overall biochemical reactions catalyzed by anthranilate synthase is: chorismate(aq) + ammonia(aq) = anthranilate(aq) + pyruvate(aq) + H2O(l). This reaction can be divided into two partial reactions involving the intermediate 2-amino-4-deoxyisochorismate (ADIC): chorismate(aq) + ammonia(aq) = ADIC(aq) + H2O(l) and ADIC(aq) = anthranilate(aq) + pyruvate(aq). The native anthranilate synthase and a mutant form of it that is deficient in ADIC lyase activity but has ADIC synthase activity were used to study the overall ammonia-dependent reaction and the first of the above two partial reactions, respectively. Microcalorimetric measurements were performed on the overall reaction at a temperature of 298.15 K and pH 7.79. Equilibrium measurements were performed on the first partial (ADIC synthase) reaction at temperatures ranging from 288.15 to 302.65 K, and at pH values from 7.76 to 8.08. The results of the equilibrium and calorimetric measurements were analyzed in terms of a chemical equilibrium model that accounts for the multiplicity of ionic states of the reactants and products. These calculations gave thermodynamic quantities at the temperature 298.15 K and an ionic strength of zero for chemical reference reactions involving specific ionic forms. For the reaction: chorismate2-(aq) + NH4+(aq) = anthranilate-(aq) + pyruvate-(aq) + H+(aq) + H2O(l), delta rHmo = -(116.3 +/- 5.4) kJ mol-1. For the reaction: chorismate2-(aq) + NH4+(aq) = ADIC-(aq) + H2O(l), K = (20.3 +/- 4.5) and delta rHmo = (7.5 +/- 0.6) kJ mol-1. Thermodynamic cycle calculations were used to calculate thermodynamic quantities for three additional reactions that are pertinent to this branch point of the chorismate pathway. The quantities obtained in this study permit the calculation of the position of equilibrium of these reactions as a function of temperature, pH, and ionic strength. Values of the apparent equilibrium constants and the standard transformed Gibbs energy changes delta rG'mo under approximately physiological conditions are given.",Feb 2000,"W M Byrnes, R N Goldberg, M J Holden, M P Mayhew, Y B Tewari"
1,00DIC/BUR,10748184.0,10.1074/jbc.M910044199,"same as 01DIC/BUR, part 7, ref 98",['eng'],275,21,15828-31,The Journal of biological chemistry,"The repair of phosphodiester bonds in nicked DNA is catalyzed by DNA ligases. Ligation is coupled to cleavage of a phosphoanhydride bond in a nucleotide cofactor resulting in a thermodynamically favorable process. A free energy value for phosphodiester bond formation was calculated using the reversibility of the T4 DNA ligase reaction. The relative number of DNA nicks to phosphodiester bonds in a circular plasmid DNA, formed during this reaction at fixed concentrations of ATP to AMP and PP(i), was quantified. At 25 degrees C, pH 7, the equilibrium constant (K(eq)) for the ligation reaction is 3.89 x 10(4) m. This value corresponds to a standard free energy (DeltaG degrees ') of -6.3 kcal mol(-1). By subtracting the known energy contribution due to hydrolysis of ATP to AMP and PP(i), DeltaG degrees ' for the hydrolysis of a DNA phosphodiester bond is -5.3 kcal mol(-1).",May 2000,"K S Dickson, C M Burns, J P Richardson"
2,00DIE,,,"part 7, ref  150",-,-,-,-,-,-,-,-
3,00FLO/SEW,10620267.0,10.1002/(SICI)1097-0290(20000205)67:3<364::AID-BIT13>3.0.CO,,['eng'],67,3,364-71,Biotechnology and bioengineering,"The equilibrium position in lipase mediated esterification of various fatty acids and butanol was studied. The influence of the chain length and the presence of unsaturations in the fatty acids on the equilibrium position was measured and predicted. To predict equilibrium position the program TREP extended (TREPEX) based on the UNIFAC group contribution method was used. Using an equilibrium constant of 35, calculated on the basis of thermodynamic activities, the equilibrium position between butanol and saturated and/or unsaturated fatty acids with different chain lengths can be predicted. The ester mole fraction at equilibrium increases with the fatty acid chain length, and for fatty acids with the same carbon number, the highest values are found for unsaturated fatty acids. For reaction systems containing two saturated fatty acids, a slightly higher mole fraction is obtained for the fatty acid with the higher chain length, while for mixtures consisting of saturated and unsaturated fatty acids, the mole fractions of the unsaturated esters are lower than those of the saturated ones, regardless the chain length of the fatty acid. These experimental results are in good agreement with the calculations with TREPEX.",Feb 2000,"M V Flores, J J Sewalt, A E Janssen, A van der Padt"
4,00FRA/KOS,,10.1039/b000018n,,-,-,-,-,-,-,-,-
5,00KIS/TEW,,10.1006/jcht.1999.0496,,-,-,-,-,-,-,-,-
6,00LIA/HUA,,10.1016/S0040-6031(00)00355-5,,-,-,-,-,-,-,-,-
7,00LIA/QU,,10.1016/S0009-2509(00)00417-6,,-,-,-,-,-,-,-,-
8,00ROD/BAR,10890880.0,10.1073/pnas.120168097,,['eng'],97,15,8705-10,Proceedings of the National Academy of Sciences of the United States of America,"A distinct phosphodiesterasic activity (EC 3.1.4) was found in both mono- and dicotyledonous plants that catalyzes the hydrolytic breakdown of ADPglucose (ADPG) to produce equimolar amounts of glucose-1-phosphate and AMP. The enzyme responsible for this activity, referred to as ADPG pyrophosphatase (AGPPase), was purified over 1,100-fold from barley leaves and subjected to biochemical characterization. The calculated K(eq)' (modified equilibrium constant) value for the ADPG hydrolytic reaction at pH 7.0 and 25 degrees C is 110, and its standard-state free-energy change value (DeltaG') is -2.9 kcal/mol (1 kcal = 4.18 kJ). Kinetic analyses showed that, although AGPPase can hydrolyze several low-molecular weight phosphodiester bond-containing compounds, ADPG proved to be the best substrate (K(m) = 0.5 mM). P(i) and phosphorylated compounds such as 3-phosphoglycerate, PP(i), ATP, ADP, NADP(+), and AMP are inhibitors of AGPPase. Subcellular localization studies revealed that AGPPase is localized exclusively in the plastidial compartment of cultured cells of sycamore (Acer pseudoplatanus L.), whereas it occurs both inside and outside the plastid in barley endosperm. In this paper, evidence is presented that shows that AGPPase, whose activity declines concomitantly with the accumulation of starch during development of sink organs, competes with starch synthase (ADPG:1,4-alpha-d-glucan 4-alpha-d-glucosyltransferase; EC) for ADPG, thus markedly blocking the starch biosynthesis.",Jul 2000,"M Rodriguez-López, E Baroja-Fernández, A Zandueta-Criado, J Pozueta-Romero"
9,00TEW,,10.1016/S1381-1177(99)00087-9,,-,-,-,-,-,-,-,-
